month,btc_monthly_return_percent
2014-01,10.07
2014-02,-33.82
2014-03,-16.8
2014-04,-2.05
2014-05,39.32
2014-06,2.58
2014-07,-8.37
2014-08,-18.5
2014-09,-19.01
2014-10,-12.57
2014-11,11.74
2014-12,-15.3
2015-01,-32.08
2015-02,16.92
2015-03,-3.95
2015-04,-3.31
2015-05,-2.52
2015-06,14.28
2015-07,8.2
2015-08,-19.18
2015-09,2.61
2015-10,33.09
2015-11,20.1
2015-12,14.11
2016-01,-14.35
2016-02,18.69
2016-03,-4.79
2016-04,7.58
2016-05,18.53
2016-06,26.71
2016-07,-7.23
2016-08,-7.88
2016-09,5.95
2016-10,14.96
2016-11,6.38
2016-12,29.24
2017-01,0.69
2017-02,21.6
2017-03,-9.17
2017-04,25.76
2017-05,69.63
2017-06,8.5
2017-07,15.9
2017-08,63.58
2017-09,-7.75
2017-10,49.09
2017-11,58.21
2017-12,38.33
2018-01,-27.8
2018-02,1.73
2018-03,-32.93
2018-04,32.51
2018-05,-18.9
2018-06,-14.55
2018-07,21.49
2018-08,-9.55
2018-09,-5.85
2018-10,-4.65
2018-11,-36.41
2018-12,-6.83
2019-01,-7.61
2019-02,11.48
2019-03,6.5
2019-04,30.33
2019-05,60.25
2019-06,26.15
2019-07,-6.76
2019-08,-4.51
2019-09,-13.88
2019-10,10.92
2019-11,-17.72
2019-12,-4.97
2020-01,29.98
2020-02,-8.03
2020-03,-25.13
2020-04,34.48
2020-05,9.27
2020-06,-3.41
2020-07,23.92
2020-08,3.16
2020-09,-7.67
2020-10,27.79
2020-11,42.41
2020-12,47.77
2021-01,14.18
2021-02,36.31
2021-03,30.53
2021-04,-1.98
2021-05,-35.35
2021-06,-6.14
2021-07,18.79
2021-08,13.31
2021-09,-7.16
2021-10,40.03
2021-11,-7.03
2021-12,-18.77
2022-01,-16.89
2022-02,12.24
2022-03,5.43
2022-04,-17.18
2022-05,-15.7
2022-06,-37.77
2022-07,17.95
2022-08,-14.09
2022-09,-3.08
2022-10,5.48
2022-11,-16.23
2022-12,-3.62
2023-01,39.84
2023-02,0.03
2023-03,23.03
2023-04,2.78
2023-05,-7
2023-06,11.97
2023-07,-4.09
2023-08,-11.29
2023-09,4
2023-10,28.55
2023-11,8.78
2023-12,12.07
2024-01,0.75
2024-02,43.72
2024-03,16.56
2024-04,-15
2024-05,11.3
2024-06,-7.13
2024-07,3.1
2024-08,-8.74
2024-09,7.39
2024-10,10.87
2024-11,37.36
2024-12,-3.13
2025-01,9.61
2025-02,-17.61
2025-03,-2.16
2025-04,14.12
2025-05,11.07
2025-06,2.39
2025-07,8.05
2025-08,-6.5
2025-09,5.38
2025-10,-4.89
2025-11,16.11
