date,asset,monthly_return,,,Start,End,,,,,,,,,,
2/29/2000,^SP500TR,-0.018928643,,,100,98.1071357,,,,,,,,,,
3/31/2000,^SP500TR,0.097828516,,,98.1071357,107.7048112,,,,,,,,,,
4/30/2000,^SP500TR,-0.030085678,,,107.7048112,104.4644389,,,,,,,,,,
5/31/2000,^SP500TR,-0.020518074,,,104.4644389,102.3210298,,,,,,,,,,
6/30/2000,^SP500TR,0.024653803216618586,,,102.3210298,104.8436324,,,,,,,,,,
7/31/2000,^SP500TR,-0.015634689,,,104.8436324,103.2044348,,,,,,,,,,
8/31/2000,^SP500TR,0.062113875,,,103.2044348,109.6148621,,,,,,,,,,
9/30/2000,^SP500TR,-0.052793383,,,109.6148621,103.8279227,,,,,,,,,,
10/31/2000,^SP500TR,-0.004224048,,,103.8279227,103.3893486,,,,,,,,,,
11/30/2000,^SP500TR,-0.07883984,,,103.3893486,95.23814892,,,,,,,,,,
12/31/2000,^SP500TR,0.00489491,,,95.23814892,95.70433108,,,,,,,,12/31/2000,95.70433108,
1/31/2001,^SP500TR,0.035474647939257586,,,95.70433108,99.09940854,,,,,,,,12/31/2001,84.32890294,-11.89%
2/28/2001,^SP500TR,-0.091177676,,,99.09940854,90.06375477,,,,,,,,12/31/2002,65.69193667,-22.10%
3/31/2001,^SP500TR,-0.063351563,,,90.06375477,84.35807514,,,,,,,,12/31/2003,84.53516804,28.68%
4/30/2001,^SP500TR,0.077707233,,,84.35807514,90.91330774,,,,,,,,12/31/2004,93.73437787,10.88%
5/31/2001,^SP500TR,0.006703345,,,90.91330774,91.522731,,,,,,,,12/31/2005,98.33840188,4.91%
6/30/2001,^SP500TR,-0.024341394,,,91.522731,89.29494015,,,,,,,,12/31/2006,113.8704226,15.79%
7/31/2001,^SP500TR,-0.009840634,,,89.29494015,88.41622132,,,,,,,,12/31/2007,120.1261574,5.49%
8/31/2001,^SP500TR,-0.062605615,,,88.41622132,82.88086941,,,,,,,,12/31/2008,75.68234882,-37.00%
9/30/2001,^SP500TR,-0.08075146,,,82.88086941,76.1881182,,,,,,,,12/31/2009,95.71110253,26.46%
10/31/2001,^SP500TR,0.019067619089267573,,,76.1881182,77.64084422,,,,,,,,12/31/2010,110.1284521,15.06%
11/30/2001,^SP500TR,0.076708457,,,77.64084422,83.59655358,,,,,,,,12/31/2011,112.4541618,2.11%
12/31/2001,^SP500TR,0.008760521,,,83.59655358,84.32890294,,,,,,,,12/31/2012,130.4504534,16.00%
1/31/2002,^SP500TR,-0.014595613,,,84.32890294,83.09807091,,,,,,,,12/31/2013,172.7013786,32.39%
2/28/2002,^SP500TR,-0.019281042,,,83.09807091,81.49585351,,,,,,,,12/31/2014,196.3413623,13.69%
3/31/2002,^SP500TR,0.037607353,,,81.49585351,84.56069685,,,,,,,,12/31/2015,199.0582633,1.38%
4/30/2002,^SP500TR,-0.060630918,,,84.56069685,79.43370417,,,,,,,,12/31/2016,222.8654591,11.96%
5/31/2002,^SP500TR,-0.007363922,,,79.43370417,78.84876057,,,,,,,,12/31/2017,271.5205361,21.83%
6/30/2002,^SP500TR,-0.071232801,,,78.84876057,73.2321425,,,,,,,,12/31/2018,259.6164424,-4.38%
