date,asset,monthly_return,,,Start,End,,,,,,,,,,
2/29/2000,SPY,-0.015226094,,,100,98.47739058,,,,,,,,,,
3/31/2000,SPY,0.096914691,,,98.47739058,108.0212965,,,,,,,,,,
4/30/2000,SPY,-0.035120493,,,108.0212965,104.2275353,,,,,,,,,,
5/31/2000,SPY,-0.015723159,,,104.2275353,102.5887492,,,,,,,,,,
6/30/2000,SPY,0.019682137896669838,,,102.5887492,104.6079151,,,,,,,,,,
7/31/2000,SPY,-0.01570271,,,104.6079151,102.9652873,,,,,,,,,,
8/31/2000,SPY,0.065341099,,,102.9652873,109.6931523,,,,,,,,,,
9/30/2000,SPY,-0.054861729,,,109.6931523,103.6751964,,,,,,,,,,
10/31/2000,SPY,-0.004678124,,,103.6751964,103.1901909,,,,,,,,,,
11/30/2000,SPY,-0.074653497,,,103.1901909,95.48668229,,,,,,,,,,
12/31/2000,SPY,-0.005226095,,,95.48668229,94.98765985,,,,,,,,12/31/2000,94.98765985,
1/31/2001,SPY,0.044459059,,,94.98765985,99.21072186,,,,,,,,12/31/2001,83.81850894,-11.76%
2/28/2001,SPY,-0.095387076,,,99.21072186,89.74730121,,,,,,,,12/31/2002,65.72659187,-21.58%
3/31/2001,SPY,-0.056037864,,,89.74730121,84.71805414,,,,,,,,12/31/2003,84.24935859,28.18%
4/30/2001,SPY,0.085439978,,,84.71805414,91.95636283,,,,,,,,12/31/2004,93.26237502,10.70%
5/31/2001,SPY,-0.005604944,,,91.95636283,91.44095262,,,,,,,,12/31/2005,97.76528381,4.83%
6/30/2001,SPY,-0.023829523,,,91.44095262,89.26195832,,,,,,,,12/31/2006,113.2564723,15.85%
7/31/2001,SPY,-0.010195652,,,89.26195832,88.35187442,,,,,,,,12/31/2007,119.0848527,5.15%
8/31/2001,SPY,-0.059332343,,,88.35187442,83.10975067,,,,,,,,12/31/2008,75.26761219,-36.79%
9/30/2001,SPY,-0.081630571,,,83.10975067,76.32545428,,,,,,,,12/31/2009,95.10192434,26.35%
10/31/2001,SPY,0.013021646062030934,,,76.32545428,77.31933733,,,,,,,,12/31/2010,109.4205909,15.06%
11/30/2001,SPY,0.077977064,,,77.31933733,83.34847227,,,,,,,,12/31/2011,111.4941203,1.90%
12/31/2001,SPY,0.005639416,,,83.34847227,83.81850894,,,,,,,,12/31/2012,129.3224702,15.99%
1/31/2002,SPY,-0.009798976,,,83.81850894,82.99717341,,,,,,,,12/31/2013,171.1035773,32.31%
2/28/2002,SPY,-0.017935509,,,82.99717341,81.50857685,,,,,,,,12/31/2014,194.1405832,13.46%
3/31/2002,SPY,0.033270494,,,81.50857685,84.22040743,,,,,,,,12/31/2015,196.5368497,1.23%
4/30/2002,SPY,-0.058156181,,,84.22040743,79.32247022,,,,,,,,12/31/2016,220.1171094,12.00%
5/31/2002,SPY,-0.005932843,,,79.32247022,78.85186248,,,,,,,,12/31/2017,267.894498,21.71%
6/30/2002,SPY,-0.073807705,,,78.85186248,73.03198748,,,,,,,,12/31/2018,255.6543706,-4.57%
7/31/2002,SPY,-0.078819671,,,73.03198748,67.27563025,,,,,,,,12/31/2019,335.4795146,31.22%
8/31/2002,SPY,0.006801143,,,67.27563025,67.73318142,,,,,,,,12/31/2020,396.9784889,18.33%
9/30/2002,SPY,-0.104852628,,,67.73318142,60.63117938,,,,,,,,12/31/2021,511.0254594,28.73%
10/31/2002,SPY,0.082283756,,,60.63117938,65.62014056,,,,,,,,12/31/2022,418.1447101,-18.18%
11/30/2002,SPY,0.061681338,,,65.62014056,69.6676786,,,,,,,,12/31/2023,527.5973584,26.18%
12/31/2002,SPY,-0.056569801,,,69.6676786,65.72659187,,,,,,,,12/31/2024,658.8976271,24.89%
1/31/2003,SPY,-0.024594859,,,65.72659187,64.11005559,,,,,,,,,,
2/28/2003,SPY,-0.01347839,,,64.11005559,63.24595523,,,,,,,,,,
3/31/2003,SPY,0.002139314,,,63.24595523,63.3812582,,,,,,,,,,
4/30/2003,SPY,0.084611554,,,63.3812582,68.74404494,,,,,,,,,,
5/31/2003,SPY,0.054836478,,,68.74404494,72.51372628,,,,,,,,,,
